round_epochs,loss,accuracy,val_loss,val_accuracy,activation_cnn,activation_dense,dropout,nodes_cnn,nodes_dense,optimizer
10,0.14431467652320862,0.9852095246315002,0.16134941577911377,0.9680511355400085,relu,relu,0.1,32,12,adam
10,0.16990120708942413,0.9328951239585876,3.6830649375915527,0.7514377236366272,relu,relu,0.1,32,12,sgd
10,0.056664615869522095,0.9832922220230103,0.0859215036034584,0.9667731523513794,relu,relu,0.1,32,20,adam
10,0.18551447987556458,0.9249520897865295,0.14660640060901642,0.9495207667350769,relu,relu,0.1,32,20,sgd
10,0.026024673134088516,0.9926047921180725,0.08479293435811996,0.9648562073707581,relu,relu,0.1,32,100,adam
